agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips
Campbellsport Police Department,2,Local police department,WI,Fond du Lac,Campbellsport,53010,55039
Campbellsville Police Department,23,Local police department,KY,Taylor,Campbellsville,42718,21217
Campo Police Department,1,Local police department,CO,Baca,Campo,81029,8009
Campobello Police Department,4,Local police department,SC,Spartanburg,Campobello,29322,45083
Campti Police Department,1,Local police department,LA,Natchitoches,Campti,71411,22069
Campton Police Department,5,Local police department,NH,Grafton,Campton,3223,33009
Canaan Police Department,5,Local police department,NH,Grafton,Canaan,3741,33009
Canadian County Sheriff's Office,34,Sheriff's office,OK,Canadian,El Reno,73036,40017
Canajoharie Village Police Department,5,Local police department,NY,Montgomery,Canajoharie,13317,36057
Canal Fulton Police Department,9,Local police department,OH,Stark,Canal Fulton,44614,39151
Canandaigua Police Department,24,Local police department,NY,Ontario,Canandaigua,14424,36069
Canastota Village Police Department,6,Local police department,NY,Madison,Canastota,13032,36053
Canby Police Department,25,Local police department,OR,Clackamas,Canby,97013,41005
Canby Police Department,3,Local police department,MN,Yellow Medicine,Canby,56220,27173
Candia Police Department,7,Local police department,NH,Rockingham,Candia,3034,33015
Candler County Sheriff's Office,7,Sheriff's office,GA,Candler,Metter,30439,13043
Cando Police Department,2,Local police department,ND,Towner,Cando,58324,38095
Candor Police Department,5,Local police department,NC,Montgomery,Candor,27229,37123
Caney City Police Department,2,Local police department,TX,Henderson,Caney City,75148,48213
Caney Police Department,6,Local police department,KS,Montgomery,Caney,67333,20125
Caney Police Department,3,Local police department,OK,Atoka,Caney,74533,40005
Caneyville Police Department,1,Local police department,KY,Grayson,Caneyville,42721,21085
Canfield Police Department,15,Local police department,OH,Mahoning,Canfield,44406,39099
Cankton Police Department,1,Local police department,LA,St. Landry,Sunset,70584,22097
Cannelton Police,3,Local police department,IN,Perry,Cannelton,47520,18123
Cannon Beach Police Department,-9,Local police department,OR,Clatsop,Cannon Beach,97110,41007
Cannon County Sheriff's Office,14,Sheriff's office,TN,Cannon,Woodbury,37190,47015
Cannon Falls Police Department,9,Local police department,MN,Goodhue,Cannon Falls,55009,27049
Canon City Police Department,35,Local police department,CO,Fremont,Canon City,81212,8043
Canon Police Department,1,Local police department,GA,Franklin,Canon,30520,13119
Canonsburg Borough Police Department,15,Local police department,PA,Washington,Canonsburg,15317,42125
Canterbury Police Department,2,Local police department,NH,Merrimack,Canterbury,3224,33013
Canton Borough Police Department,3,Local police department,PA,Bradford,Canton,17724,42015
Canton Park District Police Dept,-9,Special jurisdiction,IL,Fulton,Canton,61520,17057
Canton Police Department,172,Local police department,OH,Stark,Canton,44702,39151
Canton Police Department,45,Local police department,GA,Cherokee,Canton,30114,13057
Canton Police Department,5,Local police department,MO,Lewis,Canton,63435,29111
Canton Police Department,3,Local police department,OK,Blaine,Canton,73724,40011
Canton Police Department,14,Local police department,TX,Van Zandt,Canton,75103,48467
Canton Police Department,5,Local police department,SD,Lincoln,Canton,57013,46083
Canton Police Department,13,Local police department,NC,Haywood,Canton,28716,37087
Canton Police Department,14,Local police department,CT,Hartford,Canton,6019,9003
Canton Police Department,1,Local police department,KS,McPherson,Canton,67428,20113
Canton Police Department,30,Local police department,MS,Madison,Canton,39046,28089
Canton Police Department,46,Local police department,MA,Norfolk,Canton,2021,25021
Canton Police Dept,23,Local police department,IL,Fulton,Canton,61520,17057
Canton Township Dept of Public Safety,83,Local police department,MI,Wayne,Canton,48188,26163
Canton Village Police Department,8,Local police department,NY,St. Lawrence,Canton,13617,36089
Canyon County Sheriff's Office,82,Sheriff's office,ID,Canyon,Caldwell,83605,16027
Canyon Police Department,20,Local police department,TX,Randall,Canyon,79015,48381
Capac Police Department,3,Local police department,MI,St. Clair,Capac,48014,26147
Cape Carteret Police Department,7,Local police department,NC,Carteret,Cape Carteret,28584,37031
Cape Charles Police Department,5,Local police department,VA,Northampton,Cape Charles,23310,51131
Cape Coral Police Department,220,Local police department,FL,Lee,Cape Coral,33990,12071
Cape Elizabeth Police Department,13,Local police department,ME,Cumberland,Cape Elizabeth,4107,23005
Cape Girardeau County Sheriff's Office,48,Sheriff's office,MO,Cape Girardeau,Jackson,63755,29031
Cape Girardeau Police Department,76,Local police department,MO,Cape Girardeau,Cape Girardeau,63703,29031
Cape May County Prosecutor's Office,36,Special jurisdiction,NJ,Cape May,Cape May Court House,8210,34009
Cape May County Sheriff's Office,45,Sheriff's office,NJ,Cape May,Cape May Court House,8210,34009
Cape May Police,24,Local police department,NJ,Cape May,Cape May,8204,34009
Cape Vincent Village Police Department,-9,Local police department,NY,Jefferson,Cape Vincent,13618,36045
Capital Community College Police,1,Special jurisdiction,CT,Hartford,Hartford,6103,9003
Capital Regional Airport Authority Police Dept,13,Special jurisdiction,MI,Clinton,Lansing,48906,26037
Capitan Police Department,3,Local police department,NM,Lincoln,Capitan,88316,35027
Capitol Heights Police Department,9,Local police department,MD,Prince Georges,Capitol Heights,20743,24033
Capitola Police Department,22,Local police department,CA,Santa Cruz,Capitola,95010,6087
Capon Bridge Police Department,1,Local police department,WV,Hampshire,Capon Bridge,26711,54027
Caraway Police Department,2,Local police department,AR,Craighead,Caraway,72419,5031
Carbon County Sheriff's Office,8,Sheriff's office,MT,Carbon,Red Lodge,59068,30009
Carbon County Sheriff's Office,8,Sheriff's office,PA,Carbon,Jim Thorpe,18229,42025
Carbon County Sheriff's Office,16,Sheriff's office,WY,Carbon,Rawlins,82301,56007
Carbon County Sheriff's Office,21,Sheriff's office,UT,Carbon,Price,84501,49007
Carbon Hill Police Department,6,Local police department,AL,Walker,Carbon Hill,35549,1127
Carbondale City Police Department,13,Local police department,PA,Lackawanna,Carbondale,18407,42069
Carbondale Police Department,14,Local police department,CO,Garfield,Carbondale,81623,8045
Carbondale Police Department,3,Local police department,KS,Osage,Carbondale,66414,20139
Carbondale Police Dept,60,Local police department,IL,Jackson,Carbondale,62902,17077
Carbondale Township Police Department,-9,Local police department,PA,Lackawanna,Carbondale,18407,42069
Cardington Police Department,5,Local police department,OH,Morrow,Cardington,43315,39117
Cardwell Police Department,2,Local police department,MO,Dunklin,Cardwell,63829,29069
Carencro Police Department,23,Local police department,LA,Lafayette,Carencro,70520,22055
Carey Police Department,7,Local police department,OH,Wyandot,Carey,43316,39175
Caribou County Sheriff's Office,16,Sheriff's office,ID,Caribou,Soda Springs,83276,16029
Caribou Police Department,14,Local police department,ME,Aroostook,Caribou,4736,23003
Carl Albert State College Campus Police,3,Special jurisdiction,OK,Le Flore,"Poteau,",74953,40079
Carl Junction Police Department,10,Local police department,MO,Jasper,Carl Junction,64834,29097
Carleton Police Department,3,Local police department,MI,Monroe,Carleton,48117,26115
Carlin Police Department,5,Local police department,NV,Elko,Carlin,89822,32007
Carlinville Police Dept,12,Local police department,IL,Macoupin,Carlinville,62626,17117
Carlisle Borough Police Department,33,Local police department,PA,Cumberland,Carlisle,17013,42041
Carlisle County Sheriff's Office,2,Sheriff's office,KY,Carlisle,Bardwell,42023,21039
Carlisle Police,1,Local police department,IN,Sullivan,Carlisle,47838,18153
Carlisle Police Department,5,Local police department,KY,Nicholas,Carlisle,40311,21181
Carlisle Police Department,10,Local police department,MA,Middlesex,Carlisle,1741,25017
Carlisle Police Department,7,Local police department,OH,Warren,Carlisle,45005,39165
Carlisle Police Department,6,Local police department,AR,Lonoke,Carlisle,72024,5085
Carlisle Police Department,5,Local police department,IA,Warren,Carlisle,50047,19181
Carlsbad Police Department,51,Local police department,NM,Eddy,Carlsbad,88220,35015
Carlsbad Police Department,114,Local police department,CA,San Diego,Carlsbad,92010,6073
Carlstadt Police,32,Local police department,NJ,Bergen,Carlstadt,7072,34003
Carlton County Sheriff's Office,20,Sheriff's office,MN,Carlton,Carlton,55718,27017
Carlton Police Department,3,Local police department,OR,Yamhill,Carlton,97111,41071
Carlyle Police Dept,7,Local police department,IL,Clinton,Carlyle,62231,17027
Carmel Clay School Police,1,Special jurisdiction,IN,Hamilton,Carmel,46033,18057
Carmel Police,104,Local police department,IN,Hamilton,Carmel,46032,18057
Carmel Police Department,14,Local police department,CA,Monterey,Carmel,93921,6053
Carmel Town Police Department,35,Local police department,NY,Putnam,Mahopac,10541,36079
Carmi Police Dept,9,Local police department,IL,White,Carmi,62821,17193
Carnegie Borough Police Department,12,Local police department,PA,Allegheny,Carnegie,15106,42003
Carnegie Police Department,4,Local police department,OK,Caddo,Carnegie,73015,40015
Carney Police Department,2,Local police department,OK,Lincoln,Carney,74832,40081
Carney's Point Police,22,Local police department,NJ,Salem,Carney's Point,8069,34033
Caro Police Department,8,Local police department,MI,Tuscola,Caro,48723,26157
Carol Stream Police Dept,65,Local police department,IL,Du Page,Carol Stream,60188,17043
Carolina Beach Police Department,28,Local police department,NC,New Hanover,Carolina Beach,28428,37129
Caroline County Sheriff's Office,49,Sheriff's office,VA,Caroline,Bowling Green,22427,51033
Caroline County Sheriff's Office,32,Sheriff's office,MD,Caroline,Denton,21629,24011
Carpentersville Police Dept,66,Local police department,IL,Kane,Carpentersville,60110,17089
Carrabassett Valley Police Department,7,Local police department,ME,Franklin,Carrabassett Valley,4947,23007
Carrabelle Police Department,6,Local police department,FL,Franklin,Carrabelle,32322,12037
Carrboro Police Department,39,Local police department,NC,Orange,Carrboro,27510,37135
Carrier Mills Police Dept,2,Local police department,IL,Saline,Carrier Mills,62917,17165
Carrington Police Department,4,Local police department,ND,Foster,Carrington,58421,38031
Carrizo Springs C.I.S.D. Police Department,3,Special jurisdiction,TX,Dimmit,Carrizo Springs,78834,48127
Carrizozo Police Department,2,Local police department,NM,Lincoln,Carrizozo,88301,35027
Carroll County Sheriff's Department,17,Sheriff's office,AR,Carroll,Berryville,72616,5015
Carroll County Sheriff's Office,8,Sheriff's office,MS,Carroll,Carrollton,38917,28015
Carroll County Sheriff's Office,19,Sheriff's office,TN,Carroll,Huntingdon,38344,47017
Carroll County Sheriff's Office,67,Sheriff's office,MD,Carroll,Westminster,21157,24013
Carroll County Sheriff's Office,30,Sheriff's office,VA,Carroll,Hillsville,24343,51035
Carroll County Sheriff's Office,20,Sheriff's office,OH,Carroll,Carrollton,44615,39019
Carroll County Sheriff's Office,99,Sheriff's office,GA,Carroll,Carrollton,30116,13045
Carroll County Sheriff's Office,9,Sheriff's office,IL,Carroll,Mount Carroll,61053,17015
Carroll County Sheriff's Office,11,Sheriff's office,NH,Carroll,Ossipee,3864,33003
Carroll County Sheriff's Office,7,Sheriff's office,MO,Carroll,Carrollton,64633,29033
Carroll County Sheriff's Office,4,Sheriff's office,KY,Carroll,Carrollton,41008,21041
Carroll County Sheriff's Office,10,Sheriff's office,IA,Carroll,Carroll,51401,19027
Carroll County Sheriff's Office,10,Sheriff's office,IN,Carroll,Delphi,46923,18015
Carroll Police Department,15,Local police department,IA,Carroll,Carroll,51401,19027
Carroll Police Department,4,Local police department,NH,Coos,Carroll,3595,33007
Carroll Township Police Department,5,Local police department,OH,Ottawa,Oak Harbor,43449,39123
Carroll Township Police Department,2,Local police department,PA,Washington,Monongahela,15063,42125
Carroll Township Police Department,11,Local police department,PA,York,Dillsburg,17019,42133
Carroll Valley Borough Police Department,4,Local police department,PA,Adams,Fairfield,17320,42001
Carrollton City Marshal's Office,5,Constable/marshal,TX,Dallas,Carrollton,75006,48113
Carrollton Police Department,159,Local police department,TX,Dallas,Carrollton,75006,48113
Carrollton Police Department,64,Local police department,GA,Carroll,Carrollton,30117,13045
Carrollton Police Department,9,Local police department,KY,Carroll,Carrollton,41008,21041
Carrollton Police Department,7,Local police department,MO,Carroll,Carrollton,64633,29033
Carrollton Police Department,7,Local police department,OH,Carroll,Carrollton,44615,39019
Carrollton Police Department,3,Local police department,AL,Pickens,Carrollton,35447,1107
Carrollton Police Dept,6,Local police department,IL,Greene,Carrollton,62016,17061
Carrollton Township Constable,1,Constable/marshal,AR,Boone,Alpena,72611,5009
Carrollton Township Police Department,7,Local police department,MI,Saginaw,Saginaw,48604,26145
Carrolltown Police Department,1,Local police department,PA,Cambria,Carrolltown,15722,42021
Carson City Police Department,2,Local police department,MI,Montcalm,Carson City,48811,26117
Carson City Sheriff's Office,96,Sheriff's office,NV,Carson City,Carson City,89701,32510
Carson County Sheriff's Office,6,Sheriff's office,TX,Carson,Panhandle,79068,48065
Carter County Sheriff's Office,6,Sheriff's office,KY,Carter,Grayson,41143,21043
Carter County Sheriff's Office,3,Sheriff's office,MO,Carter,Van Buren,63965,29035
Carter County Sheriff's Office,19,Sheriff's office,OK,Carter,Ardmore,73401,40019
Carter County Sheriff's Office,41,Sheriff's office,TN,Carter,Elizabethton,37643,47019
Carter County Sheriff's Office,3,Sheriff's office,MT,Carter,Ekalaka,59324,30011
Carter Lake Police Department,8,Local police department,IA,Pottawattomie,Carter Lake,51510,19155
Carteret County Sheriff's Office,46,Sheriff's office,NC,Carteret,Beaufort,28516,37031
Carteret Police,60,Local police department,NJ,Middlesex,Carteret,7008,34023
Cartersville Police Department,54,Local police department,GA,Bartow,Cartersville,30120,13015
Carterville Police Department,6,Local police department,MO,Jasper,Carterville,64835,29097
Carterville Police Dept,7,Local police department,IL,Williamson,Carterville,62918,17199
Carthage Police,1,Local police department,IN,Rush,Carthage,46115,18139
Carthage Police Department,27,Local police department,MO,Jasper,Carthage,64836,29097
Carthage Police Department,10,Local police department,NC,Moore,Carthage,28327,37125
Carthage Police Department,14,Local police department,MS,Leake,Carthage,39051,28079
Carthage Police Department,16,Local police department,TX,Panola,Carthage,75633,48365
Carthage Police Department,7,Local police department,TN,Smith,Carthage,37030,47159
Carthage Police Dept,3,Local police department,IL,Hancock,Carthage,62321,17067
Carthage Village Police Department,4,Local police department,NY,Jefferson,Carthage,13619,36045
Caruthersville Police Department,21,Local police department,MO,Pemiscot,Caruthersville,63830,29155
Carver County Sheriff's Office,87,Sheriff's office,MN,Carver,Chaska,55318,27019
Carver Police Department,16,Local police department,MA,Plymouth,Carver,2330,25023
Cary Police Department,162,Local police department,NC,Wake,Cary,27512,37183
Cary Police Dept,26,Local police department,IL,McHenry,Cary,60013,17111
Caryville Police Department,5,Local police department,TN,Campbell,Caryville,37714,47013
Casa Grande Police Department,79,Local police department,AZ,Pinal,Casa Grande,85222,4021
Cascade County Sheriff's Office,36,Sheriff's office,MT,Cascade,Great Falls,59404,30013
Cascade Police Department,5,Local police department,ID,Valley,Cascade,83611,16085
Cascade Police Department,2,Local police department,IA,Dubuque,Cascade,52033,19061
Caseville Police Department,2,Local police department,MI,Huron,Caseville,48725,26063
Casey County Sheriff's Office,5,Sheriff's office,KY,Casey,Liberty,42539,21045
Casey Police Dept,7,Local police department,IL,Effingham,Casey,62420,17049
Caseyville Police Dept,11,Local police department,IL,St. Clair,Caseyville,62232,17163
Cashion Police Department,2,Local police department,OK,Kingfisher,Cashion,73016,40073
Cashton Police Department,2,Local police department,WI,Monroe,Cashton,54619,55081
Casper Police Department,90,Local police department,WY,Natrona,Casper,82601,56025
Caspian Police Department,1,Local police department,MI,Iron,Caspian,49915,26071
Cass City Police Department,4,Local police department,MI,Tuscola,Cass City,48726,26157
Cass County Constable Pct. 1,1,Constable/marshal,TX,Cass,Linden,75563,48067
Cass County Constable Pct. 3,1,Constable/marshal,TX,Cass,Queen City,75572,48067
Cass County Constable Pct. 4,1,Constable/marshal,TX,Cass,Atlanta,75551,48067
Cass County Sheriff's Office,6,Sheriff's office,IL,Cass,Virginia,62691,17017
Cass County Sheriff's Office,18,Sheriff's office,IN,Cass,Logansport,46947,18017
Cass County Sheriff's Office,72,Sheriff's office,MO,Cass,Harrisonville,64701,29037
Cass County Sheriff's Office,52,Sheriff's office,NE,Cass,Plattsmouth,68048,31025
Cass County Sheriff's Office,19,Sheriff's office,TX,Cass,Linden,75563,48067
Cass County Sheriff's Office,38,Sheriff's office,MN,Cass,Walker,56484,27021
Cass County Sheriff's Office,35,Sheriff's office,MI,Cass,Cassopolis,49031,26027
Cass County Sheriff's Office,69,Sheriff's office,ND,Cass,Fargo,58107,38017
Cass County Sheriff's Office,7,Sheriff's office,IA,Cass,Atlantic,50022,19029
Cass-Foster Township Police Department,1,Local police department,PA,Schuylkill,Pottsville,17901,42107
Casselberry Police Department,52,Local police department,FL,Seminole,Casselberry,32707,12117
Cassia County Sheriff's Office,60,Sheriff's office,ID,Cassia,Burley,83318,16031
Cassopolis Police Department,5,Local police department,MI,Cass,Cassopolis,49031,26027
Cassville Police Department,10,Local police department,MO,Barry,Cassville,65625,29009
Cassville Police Department,1,Local police department,WI,Grant,Cassville,53806,55043
Castalia Police Department,1,Local police department,OH,Erie,Castalia,44824,39043
Castle Hills Police Department,20,Local police department,TX,Bexar,San Antonio,78213,48029
Castle Rock Police Department,53,Local police department,CO,Douglas,Castle Rock,80104,8035
Castle Rock Police Department,5,Local police department,WA,Cowlitz,Castle Rock,98611,53015
Castle Shannon Borough Police Department,12,Local police department,PA,Allegheny,Pittsburgh,15234,42003
Castleberry I.S.D. Police Dept.,2,Special jurisdiction,TX,Tarrant,Fort Worth,76114,48439
Castleton Police Department,3,Local police department,VT,Rutland,Castleton,5735,50021
Castro County Constable Pct. 3,1,Constable/marshal,TX,Castro,Dimmitt,79027,48069
Castro County Sheriff's Office,9,Sheriff's office,TX,Castro,Dimmitt,79027,48069
Castroville Police Department,9,Local police department,TX,Medina,Castroville,78009,48325
Caswell Beach Police Department,4,Local police department,NC,Brunswick,Caswell Beach,28465,37019
Caswell Center Police,4,Special jurisdiction,NC,Lenoir,Kinston,28504,37107
Caswell County Sheriff's Office,28,Sheriff's office,NC,Caswell,Yanceyville,27379,37033
Catahoula Parish Sheriff's Office,18,Sheriff's office,LA,Catahoula,Harrisonburg,71340,22025
Catasauqua Borough Police Department,8,Local police department,PA,Lehigh,Catasauqua,18032,42077
Catawba County Sheriff's Office,126,Sheriff's office,NC,Catawba,Newton,28658,37035
Catawba Island Township Police Department,5,Local police department,OH,Ottawa,Port Clinton,43452,39123
Catawba Police Department,3,Local police department,NC,Catawba,Catawba,28609,37035
Catawissa Borough Police Department,3,Local police department,PA,Columbia,Catawissa,17820,42037
Cathedral City Police Department,56,Local police department,CA,Riverside,Cathedral City,92234,6065
Catlettsburg Police Department,8,Local police department,KY,Boyd,Catlettsburg,41129,21019
Catoosa County Sheriff's Office,70,Sheriff's office,GA,Catoosa,Ringgold,30736,13047
Catoosa Police Department,14,Local police department,OK,Rogers,Catoosa,74015,40131
Catoosa Public Schools Campus Police Dept,3,Special jurisdiction,OK,Rogers,"Catoosa,",74015,40131
Catron County Sheriff's Office,7,Sheriff's office,NM,Catron,Reserve,87830,35003
Catskill Village Police Department,15,Local police department,NY,Greene,Catskill,12414,36039
Cattaraugus County Sheriff's Office,66,Sheriff's office,NY,Cattaraugus,Little Valley,14755,36009
Causeway Police Department,25,Local police department,LA,Jefferson,Metairie,70001,22051
Cavalier County Sheriff's Office,5,Sheriff's office,ND,Cavalier,Langdon,58249,38019
Cavalier Police Department,4,Local police department,ND,Pembina,Cavalier,58220,38067
Cave City Police Department,7,Local police department,KY,Barren,Cave City,42127,21009
Cave City Police Department,3,Local police department,AR,Sharp,Cave City,72521,5135
Cave Creek Marshal's Office,2,Local police department,AZ,Maricopa,Cave Creek,85331,4013
Cave Spring Police Department,4,Local police department,GA,Floyd,Cave Springs,30124,13115
Cave Springs Police Department,4,Local police department,AR,Benton,Cave City,72718,5007
Cave-In-Rock Police Dept,1,Local police department,IL,Hardin,Cave-In-Rock,62919,17069
Cawker City Police Department,1,Local police department,KS,Mitchell,Cawker City,67430,20123
Cayce Public Safety,54,Local police department,SC,Lexington,Cayce,29033,45063
Cayuga County Sheriff's Office,34,Sheriff's office,NY,Cayuga,Auburn,13021,36011
Cayuga Heights Village Police Department,6,Local police department,NY,Tompkins,Ithaca,14850,36109
Cayuga Police,1,Local police department,IN,Vermillion,Cayuga,47928,18165
Cazenovia Village Police Department,4,Local police department,NY,Madison,Cazenovia,13035,36053
Cecil County Sheriff's Office,76,Sheriff's office,MD,Cecil,Elkton,21921,24015
Cecil Township Police Department,16,Local police department,PA,Washington,Cecil,15321,42125
Cedar Bluff Police Department,4,Local police department,AL,Cherokee,Cedar Bluff,35959,1019
Cedar Bluff Police Department,3,Local police department,VA,Tazewell,Cedar Bluff,24609,51185
Cedar Bluffs Police Dept,1,Local police department,NE,Saunders,Cedar Bluffs,68015,31155
Cedar City Police Department,34,Local police department,UT,Iron,Cedar City,84720,49021
Cedar County Sheriff's Office,10,Sheriff's office,IA,Cedar,Tipton,52772,19031
Cedar County Sheriff's Office,12,Sheriff's office,MO,Cedar,Stockton,65785,29039
Cedar County Sheriff's Office,5,Sheriff's office,NE,Cedar,Hartington,68739,31027
Cedar Falls Police Department,42,Local police department,IA,Black Hawk,Cedar Falls,50613,19013
Cedar Grove Police Department,3,Local police department,WV,Kanawha,Cedar Grove,25039,54039
Cedar Grove Township Police,32,Local police department,NJ,Essex,Cedar Grove,7009,34013
Cedar Hill City Marshal's Office,3,Constable/marshal,TX,Dallas,Cedar Hill,75104,48113
Cedar Hill I.S.D. Police Dept.,5,Special jurisdiction,TX,Dallas,Cedar Hill,75104,48113
Cedar Hill Police Department,66,Local police department,TX,Dallas,Cedar Hill,75104,48113
Cedar Key Police Department,4,Local police department,FL,Levy,Cedar Key,32625,12075
Cedar Lake Police,16,Local police department,IN,Lake,Cedar Lake,46303,18089
Cedar Park Police Department,72,Local police department,TX,Williamson,Cedar Park,78613,48491
Cedar Rapids Airport Police,13,Special jurisdiction,IA,Linn,Cedar Rapids,52404,19113
Cedar Rapids Police Department,197,Local police department,IA,Linn,Cedar Rapids,52404,19113
Cedar Springs Police Department,7,Local police department,MI,Kent,Cedar Springs,49319,26081
Cedar Vale Police Department,1,Local police department,KS,Chautauqua,Cedar Vale,67024,20019
Cedar Valley College Police Dept.,8,Special jurisdiction,TX,Dallas,Lancaster,75134,48113
Cedarburg Police Department,20,Local police department,WI,Ozaukee,Cedarburg,53012,55089
Cedaredge Police Department,6,Local police department,CO,Delta,Cedaredge,81413,8029
Cedartown Police Department,32,Local police department,GA,Polk,Cedartown,30125,13233
Cedarville Police Department,4,Local police department,OH,Greene,Cedarville,45314,39057
Celeste Police Department,2,Local police department,TX,Hunt,Celeste,75423,48231
Celina Police Department,16,Local police department,OH,Mercer,Celina,45822,39107
Celina Police Department,7,Local police department,TX,Collin,Celina,75009,48085
Celina Police Department,5,Local police department,TN,Clay,Celina,38551,47027
Cement Police Department,2,Local police department,OK,Caddo,Cement,73017,40015
Centennial Lakes Police Department,17,Local police department,MN,Anoka,Circle Pines,55014,27003
Center Harbor Police Department,3,Local police department,NH,Belknap,Center Harbor,3226,33001
Center Hill Police Department,3,Local police department,FL,Sumter,Center Hill,33514,12119
Center I.S.D. Police Dept.,2,Special jurisdiction,TX,Shelby,Center,75935,48419
Center Line Dept of Public Safety,23,Local police department,MI,Macomb,Center Line,48015,26099
Center Police Department,1,Local police department,ND,Oliver,Center,58530,38065
Center Police Department,1,Local police department,MO,Ralls,Center,63436,29173
Center Police Department,5,Local police department,CO,Saguache,Center,81125,8109
Center Police Department,16,Local police department,TX,Shelby,Center,75935,48419
Center Township Police Department,13,Local police department,PA,Beaver,Aliquippa,15001,42007
Centerton Police Department,10,Local police department,AR,Benton,Centerton,72719,5007
Centerville Borough Police Department,2,Local police department,PA,Washington,Brownsville,15417,42125
Centerville Police,5,Local police department,IN,Wayne,Centerville,47330,18177
Centerville Police Department,17,Local police department,UT,Davis,Centerville,84014,49011
Centerville Police Department,41,Local police department,OH,Montgomery,Centerville,45458,39113
Centerville Police Department,10,Local police department,IA,Appanoose,Centerville,52544,19007
Centerville Police Department,12,Local police department,TN,Hickman,Centerville,37033,47081
Centerville Police Department,1,Local police department,SD,Turner,Centerville,57014,46125
Centerville Police Department,17,Local police department,GA,Houston,Centerville,31028,13153
Central Arizona College Police Department,7,Special jurisdiction,AZ,Pinal,Coolidge,85228,4021
Central Berks Regional Police Department,12,Local police department,PA,Berks,Reading,19606,42011
Central City Police Department,1,Local police department,AR,Sebastian,Central City,72941,5131
Central City Police Department,4,Local police department,CO,Gilpin,Central City,80427,8047
Central City Police Department,12,Local police department,KY,Muhlenberg,Central City,42330,21177
Central City Police Dept,5,Local police department,NE,Merrick,Central City,68826,31121
Central City Police Dept,4,Local police department,IL,Marion,Centralia,62801,17121
Central Connecticut State University Police,19,Special jurisdiction,CT,Hartford,New Britain,6050,9003
Central Falls Police Department,44,Local police department,RI,Providence,Central Falls,2863,44007
Central I.S.D. Police Dept,-9,Special jurisdiction,TX,Angelina,Pollok,75969,48005
Central Lake Police Department,1,Local police department,MI,Antrim,Central Lake,49622,26009
Central Michigan University Police Department,21,Special jurisdiction,MI,Isabella,Mount Pleasant,48859,26073
Central Oklahoma Area Technical School Police,-9,Special jurisdiction,OK,Creek,Drumright,74030,40037
Central Point Police Department,23,Local police department,OR,Jackson,Central Point,97502,41029
Central Police Department,10,Local police department,SC,Pickens,Central,29630,45077
Central State University Police Department,13,Special jurisdiction,OH,Greene,Wilberforce,45384,39057
Central Texas College Police Dept.,8,Special jurisdiction,TX,Bell,Killeen,76540,48027
Central Virginia Community College Police Dept.,1,Special jurisdiction,VA,Lynchburg City,Lynchburg,24502,51680
Central Washington University Police Department,-9,Special jurisdiction,WA,Kittitas,Ellensburg,98926,53037
Centralia Police Department,8,Local police department,MO,Boone,Centralia,65240,29019
Centralia Police Department,31,Local police department,WA,Lewis,Centralia,98531,53041
Centralia Police Dept,27,Local police department,IL,Marion,Centralia,62801,17121
Centre County Sheriff's Office,17,Sheriff's office,PA,Centre,Bellefonte,16823,42027
Centre Island Village Police Department,5,Local police department,NY,Nassau,Oyster Bay,11771,36059
Centre Police Department,9,Local police department,AL,Cherokee,Centre,35960,1019
Centreville Police Department,3,Local police department,MS,Wilkinson,Centreville,39631,28157
Centreville Police Department,6,Local police department,AL,Bibb,Centreville,35042,1007
Centreville Police Department,10,Local police department,MD,Queen Annes,Centreville,21617,24035
Centreville Police Dept,13,Local police department,IL,St. Clair,Centreville,62207,17163
Centuria Police Department,1,Local police department,WI,Polk,Centuria,54824,55095
Ceredo Police Department,5,Local police department,WV,Wayne,Ceredo,25507,54099
Ceres Department of Public Safety,45,Local police department,CA,Stanislaus,Ceres,95307,6099
Cerritos Community College,10,Special jurisdiction,CA,Los Angeles,Norwalk,90650,6037
Cerro Gordo County Sheriff's Office,20,Sheriff's office,IA,Cerro Gordo,Mason City,50401,19033
Cerro Gordo Police Dept,1,Local police department,IL,Piatt,Cerro Gordo,61818,17147
Chadbourn Police Department,9,Local police department,NC,Columbus,Chadbourn,28431,37047
Chadron Police Dept,-9,Local police department,NE,Dawes,Chadron,69337,31045
Chadron State College Police,1,Special jurisdiction,NE,Dawes,Chadron,69337,31045
Chadwick Police Dept,1,Local police department,IL,Carroll,Chadwick,61014,17015
Chaffee County Sheriff's Office,15,Sheriff's office,CO,Chaffee,Salida,81201,8015
Chaffee Police Department,5,Local police department,MO,Scott,Chaffee,63740,29201
Chaffey College Police,7,Special jurisdiction,CA,San Bernardino,Rancho Cucamonga,91737,6071
Chagrin Falls Village Police Department,11,Local police department,OH,Cuyahoga,Chagrin Falls,44022,39035
Chalfont Borough Police Department,5,Local police department,PA,Bucks,Chalfont,18914,42017
Chamberlain Police Department,5,Local police department,SD,Brule,Chamberlain,57325,46015
Chambers County Constable Pct. 1,1,Constable/marshal,TX,Chambers,Winnie,77665,48071
Chambers County Constable Pct. 2,2,Constable/marshal,TX,Chambers,Anahuac,77514,48071
Chambers County Constable Pct. 3,1,Constable/marshal,TX,Chambers,Anahuac,77514,48071
Chambers County Constable Pct. 4,1,Constable/marshal,TX,Chambers,Mont Belvieu,77580,48071
Chambers County Constable Pct. 6,1,Constable/marshal,TX,Chambers,Baytown,77520,48071
