agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips
Adrian Police Department,2,Local police department,MN,Nobles,Adrian,56110,27105
Adrian Police Department,3,Local police department,MO,Bates,Adrian,64720,29013
Adrian Township Police Department,2,Local police department,MI,Lenawee,Adrian,49221,26091
Advance Police,1,Local police department,IN,Boone,Advance,46102,18011
Advance Police Department,-9,Local police department,MO,Stoddard,Advance,63730,29207
Afton Police Department,5,Local police department,WY,Lincoln,Afton,83110,56023
Afton Police Department,1,Local police department,IA,Union,Afton,50830,19175
Afton Village Police Department,-9,Local police department,NY,Chenango,Afton,13730,36017
Agawam Police Department,49,Local police department,MA,Hampden,Feeding Hills,1030,25013
Agra Police Department,1,Local police department,OK,Lincoln,Agra,74824,40081
Ahoskie Police Department,17,Local police department,NC,Hertford,Ahoskie,27910,37091
Aiken County Sheriff's Office,125,Sheriff's office,SC,Aiken,Aiken,29801,45003
Aiken Public Safety,83,Local police department,SC,Aiken,Aiken,29801,45003
Airway Heights Police Department,13,Local police department,WA,Spokane,Airway Heights,99001,53063
Aitkin County Sheriff's Office,19,Sheriff's office,MN,Aitkin,Aitkin,56431,27001
Aitkin Police Department,6,Local police department,MN,Aitkin,Aitkin,56431,27001
Ak-Chin Tribal Police Department,12,Local police department,AZ,Pinal,Maricopa,85239,4021
Akeley Police Department,-9,Local police department,MN,Hubbard,Akeley,56433,27057
Akron Borough Police Department,4,Local police department,PA,Lancaster,Akron,17501,42071
Akron Police,3,Local police department,IN,Fulton,Akron,46910,18049
Akron Police Department,2,Local police department,IA,Plymouth,Akron,51001,19149
Akron Police Department,472,Local police department,OH,Summit,Akron,44308,39153
Akron Village Police Department,2,Local police department,NY,Erie,Akron,14001,36029
Alabama A & M University Police Department,24,Special jurisdiction,AL,Madison,Normal,35762,1089
Alabama Alcoholic Beverage Control Board,110,Special jurisdiction,AL,Montgomery,Montgomery,36109,1101
Alabama Capitol Police Department,25,Special jurisdiction,AL,Montgomery,Montgomery,36130,1101
Alabama Department of Agriculture And Industries,4,Special jurisdiction,AL,Montgomery,"Montgomery,",36109,1101
Alabama Department of Conservation - Marine Police Division,60,Special jurisdiction,AL,Montgomery,Montgomery,36130,1101
Alabama Department of Conservation - Wildlife & Fisheries,136,Special jurisdiction,AL,Montgomery,Montgomery,36130,1101
Alabama Department of Forensic Sciences,92,Special jurisdiction,AL,Lee,Auburn,36831,1081
Alabama Department of Public Safety,763,Primary state law enforcement agency,AL,Montgomery,Montgomery,36102,1101
Alabama Forestry Commission,9,Special jurisdiction,AL,Montgomery,Montgomery,36130,1101
Alabama State House of Representatives - Security,2,Special jurisdiction,AL,Montgomery,Montgomery,36130,1101
Alabama State Parks,33,Special jurisdiction,AL,Montgomery,Montgomery,36130,1101
Alabama State Port Authority Police,48,Special jurisdiction,AL,Mobile,Mobile,36633,1097
Alabama State Senate -Security,2,Special jurisdiction,AL,Montgomery,Montgomery,36130,1101
Alabama State University Police,24,Special jurisdiction,AL,Montgomery,Montgomery,36195,1101
Alabaster Police Department,65,Local police department,AL,Shelby,Alabaster,35007,1117
Alachua County Sheriff's Office,276,Sheriff's office,FL,Alachua,Gainesville,32602,12001
Alachua Police Department,21,Local police department,FL,Alachua,Alachua,32616,12001
Alamance County Sheriff's Office,136,Sheriff's office,NC,Alamance,Graham,27253,37001
Alameda County Sheriff's Office,928,Sheriff's office,CA,Alameda,Oakland,94612,6001
Alameda Police Department,94,Local police department,CA,Alameda,Alameda,94501,6001
Alamo Community College District Police,55,Special jurisdiction,TX,Bexar,San Antonio,78204,48029
Alamo Heights Police Department,20,Local police department,TX,Bexar,San Antonio,78209,48029
Alamo Police Department,1,Local police department,GA,Wheeler,Alamo,30411,13309
Alamo Police Department,5,Local police department,TN,Crockett,Alamo,38001,47033
Alamo Police Department,28,Local police department,TX,Hidalgo,Alamo,78516,48215
Alamogordo Department of Public Safety,71,Local police department,NM,Otero,Alamogordo,88310,35035
Alamosa County Sheriff's Office,18,Sheriff's office,CO,Alamosa,Alamosa,81101,8003
Alamosa Police Department,24,Local police department,CO,Alamosa,Alamosa,81101,8003
Alapaha Police Department,1,Local police department,GA,Berrien,Alapaha,31622,13019
Alaska State Parks,28,Special jurisdiction,AK,Anchorage,Anchorage,99501,2020
Alaska State Troopers,274,Primary state law enforcement agency,AK,Anchorage,Anchorage,99507,2020
Alaska Wildlife Troopers,88,Special jurisdiction,AK,Anchorage,Anchorage,99507,2020
Alba Police Dept,2,Local police department,TX,Wood,Alba,75410,48499
Albany Code Enforcement Department,9,Local police department,GA,Dougherty,Albany,31702,13095
Albany County Sheriff's Office,100,Sheriff's office,NY,Albany,Albany,12207,36001
Albany County Sheriff's Office,18,Sheriff's office,WY,Albany,Laramie,82070,56001
Albany Police,4,Local police department,IN,Delaware,Albany,47320,18035
Albany Police Department,3,Local police department,LA,Livingston,Albany,70711,22063
Albany Police Department,328,Local police department,NY,Albany,Albany,12210,36001
Albany Police Department,24,Local police department,CA,Alameda,Albany,94706,6001
Albany Police Department,4,Local police department,MN,Stearns,Albany,56307,27145
Albany Police Department,1,Local police department,TX,Shackelford,Albany,76430,48417
Albany Police Department,60,Local police department,OR,Linn,Albany,97322,41043
Albany Police Department,184,Local police department,GA,Dougherty,Albany,31702,13095
Albany Police Department,8,Local police department,KY,Clinton,Albany,42602,21053
Albany Police Department,3,Local police department,WI,Green,Albany,53502,55045
Albany Police Dept,1,Local police department,IL,Whiteside,Albany,61230,17195
Albany State University Dept of Public Safety,17,Special jurisdiction,GA,Dougherty,Albany,31705,13095
Albemarle County Police Department,120,Local police department,VA,Albemarle,Charlottesville,22902,51003
Albemarle County Sheriff's Office,19,Sheriff's office,VA,Albemarle,Charlottesville,22902,51003
Albemarle Police Department,49,Local police department,NC,Stanly,Albemarle,28002,37167
Albers Police Dept,-9,Local police department,IL,Clinton,Albers,62215,17027
Albert J. Ellis Airport Police Dept,6,Special jurisdiction,NC,Onslow,Richlands,28574,37133
Albert Lea Police Department,29,Local police department,MN,Freeborn,Albert Lea,56007,27047
Albertville Police Department,40,Local police department,AL,Marshall,Albertville,35950,1095
Albia Police Department,6,Local police department,IA,Monroe,Albia,52531,19135
Albion Borough Police Department,2,Local police department,PA,Erie,Albion,16401,42049
Albion Dept of Public Safety,24,Local police department,MI,Calhoun,Albion,49224,26025
Albion Police Department,6,Local police department,IN,Noble,Albion,46701,18113
Albion Police Dept,3,Local police department,NE,Boone,Albion,68620,31011
Albion Police Dept,3,Local police department,IL,Edwards,Albion,62806,17047
Albion Village Police Department,12,Local police department,NY,Orleans,Albion,14411,36073
Albuquerque Aviation Police,40,Special jurisdiction,NM,Bernalillo,Albuquerque,87119,35001
Albuquerque Police Department,1020,Local police department,NM,Bernalillo,Albuquerque,87102,35001
Albuquerque Public Schools Police Dept.,39,Special jurisdiction,NM,Bernalillo,Albuquerque,87110,35001
Alburtis Borough Police Department,4,Local police department,PA,Lehigh,Alburtis,18011,42077
Alcester Police Department,2,Local police department,SD,Union,Alcester,57001,46127
Alcoa Police Department,40,Local police department,TN,Blount,Alcoa,37701,47009
Alcona County Sheriff's Office,14,Sheriff's office,MI,Alcona,Harrisville,48740,26001
Alcorn County Sheriff's Office,14,Sheriff's office,MS,Alcorn,Corinth,38834,28003
Alcorn State University Police Department,20,Special jurisdiction,MS,Claiborne,Lorman,39096,28021
Aldan Borough Police Department,6,Local police department,PA,Delaware,Aldan,19018,42045
Alden Police Department,1,Local police department,MN,Freeborn,Alden,56009,27047
Alderson Police Department,2,Local police department,WV,Monroe,Alderson,24910,54063
Aldine I.S.D Police Dept.,41,Special jurisdiction,TX,Harris,Houston,77032,48201
Aledo I.S.D Police Dept.,5,Special jurisdiction,TX,Parker,Aledo,76008,48367
Aledo Police Dept,7,Local police department,IL,Mercer,Aledo,61231,17131
Alex Police Department,4,Local police department,OK,Grady,Alex,73002,40051
Alexander City Police Department,46,Local police department,AL,Tallapoosa,Alexander City,35011,1123
Alexander County Sheriff's Office,7,Sheriff's office,IL,Alexander,Cairo,62914,17003
Alexander County Sheriff's Office,28,Sheriff's office,NC,Alexander,Taylorsville,28681,37003
Alexander Police Department,4,Local police department,AR,Pulaski,Alexander,72002,5119
Alexandria (City) Sheriff's Office,172,Sheriff's office,VA,Alexandria City,Alexandria,22314,51510
Alexandria Bay Vlg Police Dept,2,Local police department,NY,Jefferson,Alexandria Bay,13607,36045
Alexandria Police,13,Local police department,IN,Madison,Alexandria,46001,18095
Alexandria Police Department,13,Local police department,KY,Campbell,Alexandria,41001,21037
Alexandria Police Department,20,Local police department,MN,Douglas,Alexandria,56308,27041
Alexandria Police Department,3,Local police department,TN,DeKalb,Alexandria,37012,47041
Alexandria Police Department,167,Local police department,LA,Rapides,Alexandria,71301,22079
Alexandria Police Department,1,Local police department,NH,Grafton,Alexandria,3222,33009
Alexandria Police Department,315,Local police department,VA,Alexandria City,Alexandria,22314,51510
Alfalfa County Sheriff's Office,4,Sheriff's office,OK,Alfalfa,Cherokee,73728,40003
Alfred Village Police Department,6,Local police department,NY,Allegany,Alfred,14802,36003
Alger County Sheriff's Office,9,Sheriff's office,MI,Alger,Munising,49862,26003
Algoma Police Department,6,Local police department,WI,Kewaunee,Algoma,54201,55061
Algona Police Department,7,Local police department,WA,King,Algona,98001,53033
Algona Police Department,10,Local police department,IA,Kossuth,Algona,50511,19109
Algonac Police Department,8,Local police department,MI,St. Clair,Algonac,48001,26147
Algonquin Police Dept,50,Local police department,IL,McHenry,Algonquin,60102,17111
Algood Police Department,11,Local police department,TN,Putnam,Algood,38506,47141
Alhambra Police Department,83,Local police department,CA,Los Angeles,Alhambra,91801,6037
Alice Police Department,37,Local police department,TX,Jim Wells,Alice,78332,48249
Aliceville Police Department,-9,Local police department,AL,Pickens,Aliceville,35442,1107
Alief I.S.D Police Dept.,39,Special jurisdiction,TX,Harris,Alief,77411,48201
Aliquippa Police Department,18,Local police department,PA,Beaver,Aliquippa,15001,42007
