agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
New York City Police Department,36023,Local police department,NY,New York,New York,10038,36061,"One Police Plaza, Room 1400", 
Chicago Police Dept,13354,Local police department,IL,Cook,Chicago,60653,17031,3510 S Michigan, 
Los Angeles Police Department,9727,Local police department,CA,Los Angeles,Los Angeles,90012,6037,150 N. Los Angeles Street, 
Los Angeles County Sheriff's Office,9461,Sheriff's office,CA,Los Angeles,Monterey Park,91754,6037,Unit 1,4700 W. Ramona Blvd.
California Highway Patrol,7202,Primary state law enforcement agency,CA,Sacramento,Sacramento,95818,6067,2555 First Ave, 
Philadelphia Police Department,6624,Local police department,PA,Philadelphia,Philadelphia,19136,42101,523 Main Street, 
Cook County Sheriff's Office,5655,Sheriff's office,IL,Cook,Chicago,60602,17031,143 Gunflint Trail, 
Houston Police Department,5053,Local police department,TX,Harris,Houston,77073,48201,17000 Aldine Westfield, 
New York State Police,4847,Primary state law enforcement agency,NY,Albany,Albany,12226,36001,Building 22,1220 Washington Avenue
Pennsylvania State Police,4458,Primary state law enforcement agency,PA,Dauphin,Harrisburg,17110,42043,1800 Elmerton Ave, 
Washington Metropolitan Police Department,3742,Local police department,DC,District of Columbia,Washington,20001,11001,300 Indiana Avenue NW, 
Texas Department of Public Safety,3529,Primary state law enforcement agency,TX,Travis,Austin,78773,48453,"Attn: Cindy Torres, Hr",P O Box 4087
Dallas Police Department,3389,Local police department,TX,Dallas,Dallas,75215,48113,131 N. Gaston Avenue, 
Phoenix Police Department,3388,Local police department,AZ,Maricopa,Phoenix,85003,4013,Po Box 330, 
Miami-Dade (County) Police Department,3093,Local police department,FL,Miami-Dade,Miami,33172,12086,9105 N.W. 25Th Street, 
New Jersey State Police,3053,Primary state law enforcement agency,NJ,Mercer,West Trenton,8628,34021,P.O. Box 7068; River Road, 
Baltimore Police Department,2990,Local police department,MD,Baltimore City,Baltimore,21211,24510,416 West Market Street, 
Las Vegas Metro Police Department,2942,Local police department,NV,Clark,Las Vegas,89101,32003,3141 Sunrise Ave, 
Nassau County Police Department,2732,Local police department,NY,Nassau,Mineola,11501,36059,1490 Franklin Avenue, 
Suffolk County Police Department,2622,Local police department,NY,Suffolk,Yaphank,11980,36103,30 Yaphank Avenue, 
Harris County Sheriff's Office,2558,Sheriff's office,TX,Harris,Houston,77002,48201,1200 Baker St, 
Massachusetts State Police,2310,Primary state law enforcement agency,MA,Middlesex,Framingham,1701,25017,470 Worcester Rd, 
Detroit Police Department,2250,Local police department,MI,Wayne,Detroit,48226,26163,1300 Beaubien, 
Boston Police Department,2181,Local police department,MA,Suffolk,Boston,2120,25025,1 Schroeder Plaza, 
Riverside County Sheriff's Office,2147,Sheriff's office,CA,Riverside,Riverside,92501,6065,4095 Lemon St Fl 2,PO Box 512
Illinois State Police,2105,Primary state law enforcement agency,IL,Sangamon,Springfield,62794,17167,Po Box 19461, 
San Antonio Police Department,2020,Local police department,TX,Bexar,San Antonio,78207,48029,214 W. Nueva St., 
Milwaukee Police Department,1987,Local police department,WI,Milwaukee,Milwaukee,53201,55079,749 West State Street,P.O. Box 531
San Diego Police Department,1951,Local police department,CA,San Diego,San Diego,92101,6073,404 South Mier, 
San Francisco Police Department,1940,Local police department,CA,San Francisco,San Francisco,94103,6075,Suite 475,850 Bryant Street
Honolulu (City and County) Police Department,1934,Local police department,HI,Honolulu,Honolulu,96813,15003,801 South Beretania Street, 
Baltimore County Police Department,1910,Local police department,MD,Baltimore,Towson,21286,24005,700 E. Joppa Rd, 
Columbus Police Department,1886,Local police department,OH,Franklin,Columbus,43215,39049,300 E Maple, 
Virginia State Police,1873,Primary state law enforcement agency,VA,Chesterfield,Richmond,23235,51041,7700 Midlothian Turnpike, 
North Carolina State Highway Patrol,1827,Primary state law enforcement agency,NC,Wake,Raleigh,27611,37183,Archdale Building, 
San Bernardino County Sheriff's Office,1797,Sheriff's office,CA,San Bernardino,San Bernardino,92415,6071,655 E 3Rd St, 
Orange County Sheriff-Coroner Department,1794,Sheriff's office,CA,Orange,Santa Ana,92702,6059,Po Box 449,550 N Flower St
Michigan State Police,1732,Primary state law enforcement agency,MI,Ingham,East Lansing,48823,26065,714 South Harrison Rd, 
Atlanta Police Department,1719,Local police department,GA,Fulton,Atlanta,30308,13121,"675 Ponce De Leon, 9Th Floor", 
Charlotte - Mecklenburg Police Department,1672,Local police department,NC,Mecklenburg,Charlotte,28202,37119,601 East Trade Street, 
Port Authority of New York & New Jersey Police Department,1667,Special jurisdiction,NJ,Hudson,Jersey City,7310,34017,Rm 302,241 Erie St.
Jacksonville Sheriff's Office,1662,Local police department,FL,Duval,Jacksonville,32202,12031,501 E Bay St, 
Broward County Sheriff's Office,1624,Sheriff's office,FL,Broward,Fort Lauderdale,33312,12011,2601 W Broward Blvd, 
Cleveland Police Department,1616,Local police department,OH,Cuyahoga,Cleveland,44113,39035,209 W Main Street, 
Florida Highway Patrol,1606,Primary state law enforcement agency,FL,Leon,Tallahassee,32399,12073,Neil Kirkman Bldg,2900 Apalachee Pkwy
Indianapolis Police,1582,Local police department,IN,Marion,Indianapolis,46204,18097,50 North Alabama Street, 
Prince George's County Police Department,1578,Local police department,MD,Prince Georges,Landover,20785,24033,7600 Barlowe Road, 
Ohio State Highway Patrol,1560,Primary state law enforcement agency,OH,Franklin,Columbus,43211,39049,740 E. 17th Avenue, 
Memphis Police Department,1549,Local police department,TN,Shelby,Memphis,38103,47157,201 Poplar, 
Denver Police Department,1525,Local police department,CO,Denver,Denver,80204,8031,Po Box 489, 
Austin Police Department,1515,Local police department,TX,Travis,Austin,78768,48453,201 1St Street Ne, 
Fort Worth Police Department,1489,Local police department,TX,Tarrant,Fort Worth,76102,48439,350 W. Belknap Street, 
Palm Beach County Sheriff's Office,1447,Sheriff's office,FL,Palm Beach,West Palm Beach,33406,12099,3228 Gun Club Rd, 
Maryland State Police,1440,Primary state law enforcement agency,MD,Baltimore,Pikesville,21208,24005,1201 Reisterstown Rd, 
New Orleans Police Department,1425,Local police department,LA,Orleans,New Orleans,70119,22071,715 South Broad, 
Kansas City Police Department,1421,Local police department,MO,Jackson,Kansas City,64106,29095,1125 Locust Street, 
Fairfax County Police Department,1419,Local police department,VA,Fairfax,Fairfax,22030,51059,4100 Chain Bridge Road, 
Sacramento County Sheriff's Office,1409,Sheriff's office,CA,Sacramento,Sacramento,95814,6067,711 G St,PO Box 988
Orange County Sheriff's Office,1398,Sheriff's office,FL,Orange,Orlando,32804,12095,Po Box 1468, 
San Jose Police Department,1382,Local police department,CA,Santa Clara,San Jose,95110,6085,201 W. Mission Street, 
St. Louis (city) Police Dept,1351,Local police department,MO,St. Louis City,St Louis,63103,29510,1200 Clark Ave - Room 103, 
San Diego County Sheriff's Office,1322,Sheriff's office,CA,San Diego,San Diego,92193,6073,Po Box 939062,9621 Ridgehaven Ct
Nashville Metro Police Department,1315,Local police department,TN,Davidson,Nashville,37201,47037,200 James Robertson Pkwy., 
Indiana State Police,1315,Primary state law enforcement agency,IN,Marion,Indianapolis,46204,18097,100 N. Senate Avenue Igcn 301, 
Newark Police,1310,Local police department,NJ,Essex,Newark,7102,34013,31 Green Street, 
Seattle Police Department,1283,Local police department,WA,King,Seattle,98124,53033,610 5Th Avenue,PO BOX 34986
Arizona Department of Public Safety,1244,Primary state law enforcement agency,AZ,Maricopa,Phoenix,85005,4013,P. O. Box 6638 Mail Drop 1000, 
Connecticut State Police,1227,Primary state law enforcement agency,CT,Middlesex,Middletown,6457,9007,1111 Country Club Rd, 
Hillsborough County Sheriff's Office,1223,Sheriff's office,FL,Hillsborough,Tampa,33601,12057,329 Mast Rd, 
Louisiana State Police,1215,Primary state law enforcement agency,LA,East Baton Rouge,Baton Rouge,70806,22033,7919 Independence Blvd, 
Montgomery County Police Department,1206,Local police department,MD,Montgomery,Rockville,20850,24031,2350 Research Blvd., 
Louisville Metro Police Department,1197,Local police department,KY,Jefferson,Louisville,40202,21111,633 West Jefferson St., 
El Paso Police Department,1132,Local police department,TX,El Paso,El Paso,79903,48141,911 N.  Raynor, 
Washington State Patrol,1132,Primary state law enforcement agency,WA,Thurston,Olympia,98504,53067,Po Box 42601, 
Miami Police Department,1104,Local police department,FL,Miami-Dade,Miami,33128,12086,P. O. Box 1206, 
Cincinnati Police Department,1082,Local police department,OH,Hamilton,Cincinnati,45214,39061,310 Ezzard Charles Drive, 
DeKalb County Police Department,1074,Local police department,GA,DeKalb,Tucker,30084,13089,1960 West Exchange Place, 
Wayne County Sheriff's Office,1062,Sheriff's office,MI,Wayne,Detroit,48226,26163,510 N Pearl St, 
Georgia Department of Public Safety,1048,Primary state law enforcement agency,GA,Fulton,Atlanta,30371,13121,P.O. Box 1456, 
Oklahoma City Police Department,1046,Local police department,OK,Oklahoma,Okla. City,73102,40109,701 Colcord Drive, 
Tucson Police Department,1032,Local police department,AZ,Pima,Tucson,85701,4019,270 South Stone Street, 
Missouri State Highway Patrol,1028,Primary state law enforcement agency,MO,Cole,Jefferson City,65102,29051,P O Box 568, 
Albuquerque Police Department,1020,Local police department,NM,Bernalillo,Albuquerque,87102,35001,"400 Roma, Nw", 
Tampa Police Department,980,Local police department,FL,Hillsborough,Tampa,33602,12057,411 North Franklin Street, 
Long Beach Police Department,968,Local police department,CA,Los Angeles,Long Beach,90802,6037,400 West Broadway, 
South Carolina Highway Patrol,967,Primary state law enforcement agency,SC,Richland,Blythewood,29016,45079,10311 Wilson Blvd, 
Alameda County Sheriff's Office,928,Sheriff's office,CA,Alameda,Oakland,94612,6001,"1401 Lakeside Dr, Ste 1200", 
Portland Police Bureau,928,Local police department,OR,Multnomah,Portland,97204,41051,1111 Sw 2Nd Avenue #1180, 
Minneapolis Police Department,902,Local police department,MN,Hennepin,Minneapolis,55415,27053,209 N Sheridan St, 
Jersey City Police,900,Local police department,NJ,Hudson,Jersey City,7302,34017,8 Erie Street, 
Pittsburgh Police Department,891,Local police department,PA,Allegheny,Pittsburgh,15233,42003,1203 Western Avenue, 
Kentucky State Police,882,Primary state law enforcement agency,KY,Franklin,Frankfort,40601,21073,919 Versailles Rd, 
Pinellas County Sheriff's Office,863,Sheriff's office,FL,Pinellas,Largo,33779,12103,Po Box 2500, 
San Francisco Sheriff's Department,838,Sheriff's office,CA,San Francisco,San Francisco,94102,6075,"City Hall, Room 456",1 Dr. Carlton B. Goodlett Pl
Mesa Police Department,831,Local police department,AZ,Maricopa,Mesa,85201,4013,130 North Robson Street, 
Fresno Police Department,828,Local police department,CA,Fresno,Fresno,93721,6019,2323 Mariposa Mall, 
Tulsa Police Department,826,Local police department,OK,Tulsa,Tulsa,74103,40143,600 Civic Center, 
Jefferson Parish Sheriff's Office,825,Sheriff's office,LA,Jefferson,Harvey,70058,22051,1233 Westbank Expy Bldg B,5th Floor
Oklahoma Department of Public Safety,825,Primary state law enforcement agency,OK,Oklahoma,"Okla. City,",73136,40109,P. O. Box 11415, 
Birmingham Police Department,816,Local police department,AL,Jefferson,Birmingham,35203,1073,151 Martin St.,PO Box 3001
Virginia Beach Police Department,813,Local police department,VA,Virginia Beach City,Virginia Beach,23456,51810,Municipal Cntr-2509 Princess, 
Oakland County Sheriff's Office,796,Sheriff's office,MI,Oakland,Pontiac,48341,26125,"1200  N Telegraph Rd, Bld 38 E", 
Buffalo Police Department,793,Local police department,NY,Erie,Buffalo,14202,36029,215 1St Ave Ne, 
St. Louis County Police Dept,781,Local police department,MO,St. Louis,St Louis,63105,29189,7900 Forsyth Blvd, 
Oakland Police Department,773,Local police department,CA,Alameda,Oakland,94607,6001,P.O. Box 56, 
Norfolk Police Department,772,Local police department,VA,Norfolk City,Norfolk,23510,51710,117 Main St, 
Maricopa County Sheriff's Office,766,Sheriff's office,AZ,Maricopa,Phoenix,85003,4013,19Th Floor,100 W. Washington
Alabama Department of Public Safety,763,Primary state law enforcement agency,AL,Montgomery,Montgomery,36102,1101,P.O. Box 1511,301 South Ripley Street
Orlando Police Department,757,Local police department,FL,Orange,Orlando,32801,12095,100 South Hughey Avenue, 
Ventura County Sheriff's Office,755,Sheriff's office,CA,Ventura,Ventura,93009,6111,800 S Victoria Ave, 
Richmond Police Department,752,Local police department,VA,Richmond City,Richmond,23220,51760,207 Summit Street, 
Omaha Police Dept,747,Local police department,NE,Douglas,Omaha,68102,31055,505 S. 15Th Street, 
Colorado State Patrol,742,Primary state law enforcement agency,CO,Jefferson,Lakewood,80215,8059,"700 Kipling St, Ste 2000", 
Marion County Sheriff's Office,740,Sheriff's office,IN,Marion,Indianapolis,46204,18097,2715 E Highway 76 Ste C, 
King County Sheriff's Office,721,Sheriff's office,WA,King,Seattle,98104,53033,Po Box 66,800 US Hwy 82 & 83 Baker
Rochester Police Department,703,Local police department,NY,Monroe,Rochester,14614,36055,P. O. Box 186, 
Raleigh Police Department,702,Local police department,NC,Wake,Raleigh,27602,37183,Po Box 590, 
Sacramento Police Department,701,Local police department,CA,Sacramento,Sacramento,95822,6067,"5770 Freeport Blvd., Suite 100", 
New York State Metropolitan Transportation Authority Police,694,Special jurisdiction,NY,New York,New York,10017,36061,347 Madison Avenue, 
Gwinnett County Police Department,682,Local police department,GA,Gwinnett,Lawrenceville,30045,13135,770 Hi Hope Road, 
Contra Costa County Sheriff's Office,679,Sheriff's office,CA,Contra Costa,Martinez,94553,6013,"651 Pine St, 7Th Floor",PO Box 391
Iowa Department of Public Safety,669,Primary state law enforcement agency,IA,Polk,Des Moines,50319,19153,215 E. 7th Street, 
Colorado Springs Police Department,668,Local police department,CO,El Paso,Colorado Springs,80901,8041,705 S. Nevada Ave, 
West Virginia State Police,667,Primary state law enforcement agency,WV,Kanawha,South Charleston,25309,54039,725 Jefferson Road, 
Wichita Police Department,662,Local police department,KS,Sedgwick,Wichita,67202,20173,455 N. Main - 4th Floor, 
Delaware State Police,658,Primary state law enforcement agency,DE,Kent,Dover,19903,10001,P.O. Box 430, 
California Parks & Recreation - Law Enforcement,645,Special jurisdiction,CA,Sacramento,Sacramento,95814,6067,1416 9Th Street, 
Yonkers Police Department,641,Local police department,NY,Westchester,Yonkers,10701,36119,104 South Broadway, 
Toledo Police Department,640,Local police department,OH,Lucas,Toledo,43624,39095,250 Nw Highway 20, 
Anne Arundel County Police Department,633,Local police department,MD,Anne Arundel,Millersville,21108,24003,8495 Veterans Highway, 
Baton Rouge Police Department,630,Local police department,LA,East Baton Rouge,Baton Rouge,70802,22033,Po Box 2406, 
Collier County Sheriff's Office,628,Sheriff's office,FL,Collier,Naples,34112,12021,"3301 E Tamiami Tr, Bldg J", 
Aurora Police Department,627,Local police department,CO,Arapahoe,Aurora,80012,8005,100 South Aurora Road, 
Lee County Sheriff's Office,621,Sheriff's office,FL,Lee,Fort Myers,33912,12071,Po Box 177, 
Arlington Police Department,610,Local police department,TX,Tarrant,Arlington,76011,48439,620 W. Division, 
Polk County Sheriff's Office,600,Sheriff's office,FL,Polk,Bartow,33830,12105,Po Box 69, 
St. Paul Police Department,598,Local police department,MN,Ramsey,St. Paul,55101,27123,P O  Box 66, 
Oregon State Police,596,Primary state law enforcement agency,OR,Marion,Salem,97317,41047,4190 Aumsville Highway Se, 
Mississippi Highway Safety Patrol,594,Primary state law enforcement agency,MS,Hinds,Jackson,39216,28049,1900 E Woodrow Wilson Boulevard,Human Resources
Greensboro Police Department,593,Local police department,NC,Guilford,Greensboro,27402,37081,1101 Main Street, 
Calcasieu Parish Sheriff's Office,592,Sheriff's office,LA,Calcasieu,Lake Charles,70602,22019,Po Box 3722,5400 E Broad St
Cobb County Police Department,590,Local police department,GA,Cobb,Marietta,30060,13067,140 North Marietta Parkway, 
Los Angeles World Airports Police,577,Special jurisdiction,CA,Los Angeles,Los Angeles,90045,6037,6150 Century Blvd,3rd Fl
Jefferson County Sheriff's Office,556,Sheriff's office,AL,Jefferson,Birmingham,35203,1073,16001 State Route 7, 
Henrico County Division of Police,554,Local police department,VA,Henrico,Henrico,23273,51087,Post Office Box 90775,7721 East Parham Road
Pima County Sheriff's Dept.,554,Sheriff's office,AZ,Pima,Tucson,85714,4019,1750 E. Benson Hwy, 
Lexington Division of Police,549,Local police department,KY,Fayette,Lexington,40507,21067,150 E. Main Street, 
Prince William County Police Department,546,Local police department,VA,Prince William,Prince William,22192,51153,1 County Complex Court, 
Jefferson County Sheriff's Office,537,Sheriff's office,CO,Jefferson,Golden,80401,8059,16001 State Route 7, 
Savannah-Chatham Metropolitan Police Department,534,Local police department,GA,Chatham,Savannah,31412,13051,Post Office Box 8032, 
Gwinnett County Sheriff's Office,531,Sheriff's office,GA,Gwinnett,Lawrenceville,30043,13135,2900 University Pkwy, 
Minnesota State Patrol,530,Primary state law enforcement agency,MN,Ramsey,St. Paul,55101,27123,444 Cedar St. Ste. 130, 
Passaic County Sheriff's Office,530,Sheriff's office,NJ,Passaic,Wayne,7470,34031,435 Hamburg Tpke, 
New Mexico State Police,528,Primary state law enforcement agency,NM,Santa Fe,Santa Fe,87507,35049,4491 Cerrillos Road, 
Bexar County Sheriff's Office,526,Sheriff's office,TX,Bexar,San Antonio,78207,48029,200 N Comal, 
Arkansas State Police,525,Primary state law enforcement agency,AR,Pulaski,Little Rock,72209,5119,#1 State Police Plaza Drive, 
Kansas Highway Patrol,525,Primary state law enforcement agency,KS,Shawnee,Topeka,66603,20177,122 Sw Seventh St, 
Milwaukee County Sheriff's Office,524,Sheriff's office,WI,Milwaukee,Milwaukee,53233,55079,821 W State St Rm 107, 
Little Rock Police Department,520,Local police department,AR,Pulaski,Little Rock,72201,5119,700 West Markham Street, 
Fulton County Sheriff's Office,516,Sheriff's office,GA,Fulton,Atlanta,30303,13121,P. O. Box 7,2216 Myron Cory Drive
Shelby County Sheriff's Office,516,Sheriff's office,TN,Shelby,Memphis,38103,47157,"501 Main St, Courthouse, Ste 8", 
Mobile Police Department,515,Local police department,AL,Mobile,Mobile,36606,1097,2460 Government Boulevard, 
Tulare County Sheriff's Office,513,Sheriff's office,CA,Tulare,Visalia,93291,6107,2404 W Burrel Ave,County Civic Center
Richland County Sheriff's Office,512,Sheriff's office,SC,Richland,Columbia,29223,45079,211 W Market St, 
Kern County Sheriff's Office,512,Sheriff's office,CA,Kern,Bakersfield,93308,6029,1350 Norris Rd, 
Shreveport Police Department,511,Local police department,LA,Caddo,Shreveport,71101,22017,1234 Texas Ave, 
St. Petersburg Police Department,510,Local police department,FL,Pinellas,St. Petersburg,33705,12103,1300 First Avenue North, 
Winston-Salem Police Department,508,Local police department,NC,Forsyth,Winston-Salem,27102,37067,Po Box 1707, 
Orleans Parish Sheriff's Office (Criminal Division),505,Sheriff's office,LA,Orleans,New Orleans,70119,22071,2800 Gravier St, 
Montgomery Police Department,500,Local police department,AL,Montgomery,Montgomery,36104,1101,320 North Ripley Street, 
Fairfax County Sheriff's Office,499,Sheriff's office,VA,Fairfax,Fairfax,22030,51059,4110 Chain Bridge Rd, 
Brevard County Sheriff's Office,497,Sheriff's office,FL,Brevard,Titusville,32780,12009,700 S Park Ave, 
Paterson Police,497,Local police department,NJ,Passaic,Paterson,7505,34031,111 Broadway, 
Johnson County Sheriff's Office,496,Sheriff's office,KS,Johnson,Olathe,66061,20091,230 DONOVAN-HARRISON RD, 
Durham Police Department,494,Local police department,NC,Durham,Durham,27701,37063,86 Dover Road, 
Monmouth County Sheriff's Office,494,Sheriff's office,NJ,Monmouth,Freehold,7728,34025,50 E Main St, 
Wisconsin State Patrol,492,Primary state law enforcement agency,WI,Dane,Madison,53707,55025,"4802 Sheboygan Avenue, Room 551",P.O. Box 7912
Nebraska State Patrol,491,Primary state law enforcement agency,NE,Lancaster,Lincoln,68509,31109,P.O. Box 94907,1600 Highway 2
Syracuse Police Department,489,Local police department,NY,Onondaga,Syracuse,13202,36067,511 South State Street, 
Pasco County Sheriff's Office,485,Sheriff's office,FL,Pasco,New Port Richey,34654,12101,8700 Citizen Dr, 
Providence Police Department,483,Local police department,RI,Providence,Providence,2903,44007,220 N WILLOW ST, 
Worcester Police Department,482,Local police department,MA,Worcester,Worcester,1608,25027,9-11 Lincoln Square, 
Fort Lauderdale Police Department,482,Local police department,FL,Broward,Fort Lauderdale,33312,12011,1300 West Broward Blvd., 
Jackson Police Department,480,Local police department,MS,Hinds,Jackson,39205,28049,Po Box 614, 
Texas Parks & Wildlife Department,480,Special jurisdiction,TX,Travis,Austin,78744,48453,4200 Smith School Rd,Attn: Randall Odom
Manatee County Sheriff's Office,476,Sheriff's office,FL,Manatee,Palmetto,34221,12081,600 8Th Ave W Ste A, 
Chesterfield County Police Department,475,Local police department,VA,Chesterfield,Chesterfield,23832,51041,P. O. Box 148, 
Utah Department of Public Safety,475,Primary state law enforcement agency,UT,Salt Lake,Salt Lake City,84114,49035,4501 S. 2700 W.,Box 141100
Akron Police Department,472,Local police department,OH,Summit,Akron,44308,39153,217 South High Street, 
North Las Vegas Police Department,471,Local police department,NV,Clark,North Las Vegas,89030,32003,1301 E. Lake Mead Blvd., 
Springfield Police Department,464,Local police department,MA,Hampden,Springfield,1105,25013,Po Box 31, 
Fresno County Sheriff's Office,461,Sheriff's office,CA,Fresno,Fresno,93721,6019,2200 Fresno St, 
Maryland Transportation Authority Police,456,Special jurisdiction,MD,Baltimore,Baltimore,21222,24005,4330 Broening Hwy, 
Knox County Sheriff's Office,456,Sheriff's office,TN,Knox,Knoxville,37902,47093,Po Box 1669, 
Franklin County Sheriff's Office,455,Sheriff's office,OH,Franklin,Columbus,43215,39049,157 Lincoln Way E, 
Dane County Sheriff's Office,454,Sheriff's office,WI,Dane,Madison,53703,55025,115 W Doty St,Public Safety Bldg
El Paso County Sheriff's Office,454,Sheriff's office,CO,El Paso,Colorado Springs,80903,8041,3850 Justice Drive, 
Bergen County Sheriff's Office,452,Sheriff's office,NJ,Bergen,Hackensack,7601,34003,10 Main St,Justice Center
Santa Clara County Sheriff's Office,450,Sheriff's office,CA,Santa Clara,San Jose,95110,6085,55 W Younger Ave, 
Volusia County Sheriff's Office,450,Sheriff's office,FL,Volusia,Deland,32721,12127,Po Box 569,123 W Indiana Ave
Dallas County Sheriff's Office,449,Sheriff's office,TX,Dallas,Dallas,75207,48113,"133 N Industrial Blvd, Lb-31", 
Tarrant County Sheriff's Office,449,Sheriff's office,TX,Tarrant,Fort Worth,76102,48439,Plaza Building,"200 Taylor, 7th Floor"
Richmond County Sheriff's Office,449,Sheriff's office,GA,Richmond,Augusta,30901,13245,Po Box 115, 
Corpus Christi Police Department,448,Local police department,TX,Nueces,Corpus Christi,78469,48355,P. O. Box 9016, 
Loudoun County Sheriff's Office,448,Sheriff's office,VA,Loudoun,Leesburg,20175,51107,39 Catoctin Circle Se, 
Fort Wayne Police,447,Local police department,IN,Allen,Fort Wayne,46803,18003,1320 E. Creighton Avenue, 
Will County Sheriff's Office,445,Sheriff's office,IL,Will,Joliet,60432,17197,14 W Jefferson St Rm 103, 
Leon County Sheriff's Office,443,Sheriff's office,FL,Leon,Tallahassee,32302,12073,Po Box 278,606 E St Mary's St
Washington Metropolitan Area Transit Authority Police,442,Special jurisdiction,DC,District of Columbia,Washington,20001,11001,"600 Fifth St., N.W. Rm 5 D 23", 
Caddo Parish Sheriff's Office,440,Sheriff's office,LA,Caddo,Shreveport,71101,22017,501 Texas St Rm 101, 
Madison Police Department,437,Local police department,WI,Dane,Madison,53703,55025,Post Office Box 32, 
New Haven Police Department,436,Local police department,CT,New Haven,New Haven,6519,9009,Post Office Box 217, 
Cobb County Sheriff's Office,435,Sheriff's office,GA,Cobb,Marietta,30060,13067,185 Roswell St Ne, 
Chattanooga Police Department,434,Local police department,TN,Hamilton,Chattanooga,37406,47065,3410 Amnicola Hwy., 
Salt Lake City Police Department,433,Local police department,UT,Salt Lake,Salt Lake City,84114,49035,Po Box 145497,P.O. Box 145497
Ouachita Parish Sheriff's Office,431,Sheriff's office,LA,Ouachita,Monroe,71201,22073,400 St John St, 
Laredo Police Department,430,Local police department,TX,Webb,Laredo,78041,48479,4712 Maher Ave., 
Virginia Beach (City) Sheriff's Office,429,Sheriff's office,VA,Virginia Beach City,Virginia Beach,23456,51810,Po Box 6098,Municipal Center
Howard County Police Department,424,Local police department,MD,Howard,Ellicott City,21043,24027,3410 Courthouse Dr, 
Richmond (City) Sheriff's Office,424,Sheriff's office,VA,Richmond City,Richmond,23223,51760,1701 Fairfield Way, 
Glendale Police Department,424,Local police department,AZ,Maricopa,Glendale,85301,4013,424 N Sappington Rd, 
Essex County Sheriff's Office,423,Sheriff's office,NJ,Essex,Newark,7102,34013,Po Box 955,304 Prince St
Bridgeport Police Department,422,Local police department,CT,Fairfield,Bridgeport,6607,9001,812 Halsell,1000 THOMPSON STREET
Dayton Police Department,421,Local police department,OH,Montgomery,Dayton,45402,39113,514 Sixth Ave., 
Hawaii (County) Police Department,419,Local police department,HI,Hawaii,Hilo,96720,15001,349 Kapiolani Street, 
"California Dept. of Justice, Div. of Law Enforcement",419,Special jurisdiction,CA,Sacramento,Sacramento,95811,6067,6Th Floor,1102 Q Street
Scottsdale Police Dept,417,Local police department,AZ,Maricopa,Scottsdale,85251,4013,Pdhq,8401 E. Indian School Road
Nevada Highway Patrol,417,Primary state law enforcement agency,NV,Carson,Carson City,89711,32510,555 Wright Way, 
Newport News Police Department,415,Local police department,VA,Newport News City,Newport News,23605,51700,9710 Jefferson Avenue, 
Stockton Police Department,415,Local police department,CA,San Joaquin,Stockton,95202,6077,115 S Walnut, 
Norfolk (City) Sheriff's Office,414,Sheriff's office,VA,Norfolk City,Norfolk,23510,51710,811 E City Hall Ave, 
Martin County Sheriff's Office,414,Sheriff's office,FL,Martin,Stuart,34994,12085,Po Box 180,Capitol Ave
Washoe County Sheriff's Office,414,Sheriff's office,NV,Washoe,Reno,89512,32031,911 E Parr Blvd, 
St. Tammany Parish Sheriff's Office,409,Sheriff's office,LA,St. Tammany,Covington,70434,22103,Po Box 1120,Sheriff's Ofc
Sarasota County Sheriff's Office,409,Sheriff's office,FL,Sarasota,Sarasota,34230,12115,Po Box 4115, 
Hartford Police Department,408,Local police department,CT,Hartford,Hartford,6120,9003,19 West Main St, 
Arapahoe County Sheriff's Office,407,Sheriff's office,CO,Arapahoe,Centennial,80112,8005,13101 E Broncos Pkwy, 
Suffolk County Sheriff's Office,406,Sheriff's office,MA,Suffolk,Boston,2118,25025,20 Bradston St, 
Huntsville Police Department,405,Local police department,AL,Madison,Huntsville,35804,1089,205 S Main Street, 
Fort Bend County Sheriff's Office,400,Sheriff's office,TX,Fort Bend,Richmond,77469,48157,1410 Ransom Rd, 
Columbus Police Department,400,Local police department,GA,Muscogee,Columbus,31902,13215,300 E Maple, 
Anaheim Police Department,398,Local police department,CA,Orange,Anaheim,92805,6059,425 S. Harbor Boulevard, 
Camden Police,397,Local police department,NJ,Camden,Camden,8103,34007,800 Federal Street, 
Greenville County Sheriff's Office,397,Sheriff's office,SC,Greenville,Greenville,29601,45045,4 Mcgee St, 
Ohio Department of Natural Resources - Office of Law Enforcement,394,Special jurisdiction,OH,Franklin,Columbus,43229,39049,2045 Morse Rd. Bldg. D-3, 
Summit County Sheriff's Office,393,Sheriff's office,OH,Summit,Akron,44308,39153,Po Box 210,501 North Park Ave
Navajo Nation Tribal Department of Law Enforcement,393,Local police department,AZ,Apache,Window Rock,86515,4001,P O Box 3360, 
Osceola County Sheriff's Office,388,Sheriff's office,FL,Osceola,Kissimmee,34744,12097,309 6Th St, 
Escambia County Sheriff's Office,388,Sheriff's office,FL,Escambia,Pensacola,32501,12033,316 Court St, 
Du Page County Sheriff's Office,386,Sheriff's office,IL,Du Page,Wheaton,60187,17043,501 N County Farm Rd, 
Des Moines Police Department,385,Local police department,IA,Polk,Des Moines,50309,19153,21900 11Th Ave South, 
