agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
Sycamore Police Department,1,Local police department,OH,Wyandot,Sycamore,44882,39175,134 North Sycamore Street,P.O. Box 279
Rio Grande Police Department,1,Local police department,OH,Gallia,Rio Grande,45674,39053,P.O. Box 343, 
Heidelberg Township Police Department,1,Local police department,PA,Berks,Robesonia,19551,42011,11 Tulpehocken Forge Road, 
Cochranton Borough Police Department,1,Local police department,PA,Crawford,Cochranton,16314,42039,109 East Adams Street, 
Ripon Township Police Department,1,Local police department,WI,Fond du Lac,Ripon,54971,55039,N8191 Douglas Street,P.O. Box 322
Fort Laramie Police Dept,1,Local police department,WY,Goshen,Fort Laramie,82212,56015,P.O. Box 177, 
Farmington Police Department,1,Local police department,WV,Marion,Farmington,26571,54049,531 Main Street, 
Clifford Police,1,Local police department,IN,Bartholomew,Clifford,47226,18005,Post Office Box 155, 
Sadieville Police Department,1,Local police department,KY,Scott,Sadieville,40370,21209,P.O. Box 183, 
Grover Police Department,1,Local police department,NC,Cleveland,Grover,28073,37045,Po Box 189, 
Booker Police Department,1,Local police department,TX,Lipscomb,Booker,79005,48295,P.O. Box M, 
Perry Police Department,1,Local police department,SC,Aiken,Perry,29137,45003,312 N. 8Th, 
Rich Creek Police Department,1,Local police department,VA,Giles,Rich Creek,24147,51071,P.O. Box 65, 
Anmoore Police Department,1,Local police department,WV,Harrison,Anmoore,26323,54033,Post Office Box 178, 
Macksville Police Department,1,Local police department,KS,Stafford,Macksville,67557,20185,Po Box 247, 
Sacred Heart Police Department,1,Local police department,MN,Renville,Sacred Heart,56285,27129,309 1St Ave,P.O. BOX 128
Joliet Police Department,1,Local police department,MT,Carbon,Joliet,59041,30009,Po Box H, 
Rising Star Police Department,1,Local police department,TX,Eastland,Rising Star,76471,48133,P. O. Box 35, 
Viola Police Department,1,Local police department,WI,Richland,Viola,54664,55103,106 W. Wisconsin St.,P.O. Box 38
Onaga Police Department,1,Local police department,KS,Pottawatomie,Onaga,66521,20149,Po Box 298, 
Blue Rapids Police Department,1,Local police department,KS,Marshall,Blue Rapids,66411,20117,4 Public Square, 
Lincolnshire Police Department,1,Local police department,KY,Jefferson,Louisville,40220,21111,4318 Taylorsville Rd., 
Hancock Police Department,1,Local police department,MN,Stevens,Hancock,56244,27149,126 W High St, 
East Bethlehem Township Police Department,1,Local police department,PA,Washington,Fredericktown,15333,42125,"36 Water Street, Box 606", 
Rolla Police Department,1,Local police department,KS,Morton,Rolla,67954,20129,Po Box 1200, 
Udall Police Department,1,Local police department,KS,Cowley,Udall,67146,20035,Po Box 410, 
Mangham Police Department,1,Local police department,LA,Richland,Mangham,71259,22083,Po Box 94, 
Cameron Police Department,1,Local police department,NC,Moore,Cameron,28326,37125,101 N. Chestnut St., 
Lagrange Police Department,1,Local police department,TN,Fayette,Lagrange,38046,47047,P.O. Box 621, 
Hudson Police,1,Local police department,IN,Steuben,Hudson,46747,18151,115 Parsonage Street,Post Office Box 97
Perryville Police Department,1,Local police department,KY,Boyle,Perryville,40468,21021,"P.O. Box 511, 448 Otsego St.", 
Benoit Police Department,1,Local police department,MS,Bolivar,Benoit,38725,28011,Post Office Box 66, 
Miller Police Department,1,Local police department,MO,Lawrence,Miller,65707,29109,Po Box 69,120 W. 2nd
Henderson Police Department,1,Local police department,MN,Sibley,Henderson,56044,27143,223 Lead Street,PO Box 95050
Manton Police Department,1,Local police department,MI,Wexford,Manton,49663,26165,402 North Michigan, 
Hamiltonban Township Police Department,1,Local police department,PA,Adams,Fairfield,17320,42001,P.O. Box 360,23 Carrous Tract Road
Smith Township Police Department,1,Local police department,PA,Washington,Slovan,15078,42125,846 North Johnson Road, 
Brandon-Fairwater Police Department,1,Local police department,WI,Fond du Lac,Brandon,53919,55039,115 North Center Street, 
Orland Police,1,Local police department,IN,Steuben,Orland,46776,18151,Post Office Box 445, 
Boyle Police Department,1,Local police department,MS,Bolivar,Boyle,38730,28011,Post Office Box 367, 
Morley Police Department,1,Local police department,MO,Scott,Morley,63767,29201,City Hall, 
Battle Lake Police Department,1,Local police department,MN,Otter Tail,Battle Lake,56515,27111,106 Washington St. South,P.O. BOX 386
Valleyview Police Department,1,Local police department,OH,Franklin,Columbus,43204,39049,432 North Richardson Avenue, 
Braggs Police Department,1,Local police department,OK,Muskogee,Braggs,74423,40101,P. O. Box 149, 
Ponder Police Department,1,Local police department,TX,Denton,Ponder,76259,48121,P.O. Box 297, 
Norwich Police Department,1,Local police department,KS,Kingman,Norwich,67118,20095,Po Box 235, 
Alma Police Department,1,Local police department,KS,Wabaunsee,Alma,66401,20197,Po Box 444, 
Argonia Police Department,1,Local police department,KS,Sumner,Argonia,67004,20191,Po Box 35, 
Swan's Island Police Department,1,Local police department,ME,Hancock,Swan's Island,4685,23009,Po Box 100,125 Harbor Rd
Conway Police Department,1,Local police department,MA,Franklin,Conway,1341,25011,Po Box 96, 
Anacoco Police Department,1,Local police department,LA,Vernon,Anacoco,71403,22115,Po Box 280, 
Ashland Police Department,1,Local police department,MS,Benton,Ashland,38603,28009,P.O. Box 1864, 
Tyrone Police Department,1,Local police department,OK,Texas,Tyrone,73951,40139,P. O. Box 234, 
Kaw City Police Department,1,Local police department,OK,Kay,Kaw City,74641,40071,900 Morgan Square E., 
Rowlesburg Police Department,1,Local police department,WV,Preston,Rowlesburg,26425,54077,Post Office Box 458, 
Advance Police,1,Local police department,IN,Boone,Advance,46102,18011,Post Office Box 67, 
Glencoe Police Department,1,Local police department,OK,Payne,Glencoe,74032,40119,P. O. Box 198, 
Coyle Police Department,1,Local police department,OK,Logan,Coyle,73027,40083,P.O. Box 248, 
Eakly Police Department,1,Local police department,OK,Caddo,Eakly,73033,40015,P.O. Box 305, 
Fountain Green Police Department,1,Local police department,UT,Sanpete,Fountain Green,84632,49039,P.O. Box 97,260 West 100 North
North Salem Police,1,Local police department,IN,Hendricks,North Salem,46165,18063,5 West Pearl Street,Post Office Box 417
Lake Angelus Police Department,1,Local police department,MI,Oakland,Auburn Hills,48326,26125,3575 Baldwin Rd, 
Mars Borough Police Department,1,Local police department,PA,Butler,Mars,16046,42019,598 Spring Avenue,P.O. Box 395
Washington Police Department,1,Local police department,OK,McClain,Washington,73093,40087,Po Box 605, 
Westfield Borough Police Department,1,Local police department,PA,Tioga,Westfield,16950,42117,429 E Main St, 
Shade Township Police Department,1,Local police department,PA,Somerset,Cairnbrook,15924,42111,1221 #1 Road, 
